tBJD,HJD,fits
1831.9344341673213,2458831.934434167,2019-12-14T10:25:35.112
1831.974711335874,2458831.9747113357,2019-12-14T11:23:35.059
1832.0135996342817,2458832.013599634,2019-12-14T12:19:35.008
1832.0524879298955,2458832.05248793,2019-12-14T13:15:34.957
1832.2080410844087,2458832.2080410845,2019-12-14T16:59:34.750
1832.2469293665183,2458832.2469293666,2019-12-14T17:55:34.697
1832.287206513185,2458832.2872065133,2019-12-14T18:53:34.643
1832.3260947897065,2458832.32609479,2019-12-14T19:49:34.590
1832.3649830638997,2458832.364983064,2019-12-14T20:45:34.537
1832.4038713352988,2458832.403871335,2019-12-14T21:41:34.483
1832.4427596039036,2458832.4427596037,2019-12-14T22:37:34.430
1832.4830367366003,2458832.4830367365,2019-12-14T23:35:34.374
1832.5219250000828,2458832.521925,2019-12-15T00:31:34.320
1832.559424394352,2458832.5594243943,2019-12-15T01:25:34.268
1832.5983126527126,2458832.5983126527,2019-12-15T02:21:34.213
1832.6399786411184,2458832.639978641,2019-12-15T03:21:34.155
1832.6788668938914,2458832.678866894,2019-12-15T04:17:34.100
1832.7177551443351,2458832.7177551445,2019-12-15T05:13:34.044
1832.8330310148133,2458832.833031015,2019-12-15T07:59:33.880
1832.8746969864553,2458832.8746969863,2019-12-15T08:59:33.820
1832.9121963583734,2458832.912196358,2019-12-15T09:53:33.765
1832.9899728261998,2458832.989972826,2019-12-15T11:45:33.652
1833.0288610566201,2458833.0288610565,2019-12-15T12:41:33.595
1833.0691381492702,2458833.0691381493,2019-12-15T13:39:33.536
1833.105248644058,2458833.105248644,2019-12-15T14:31:33.483
1833.1441368670287,2458833.144136867,2019-12-15T15:27:33.425
1833.1830250872044,2458833.183025087,2019-12-15T16:23:33.368
1833.224691034632,2458833.2246910348,2019-12-15T17:23:33.305
1833.263579250152,2458833.2635792503,2019-12-15T18:19:33.247
1833.3024674624123,2458833.3024674626,2019-12-15T19:15:33.189
1833.3427445373673,2458833.342744537,2019-12-15T20:13:33.128
1833.3802438804137,2458833.38024388,2019-12-15T21:07:33.071
1833.4191320861546,2458833.419132086,2019-12-15T22:03:33.012
1833.4594091531926,2458833.459409153,2019-12-15T23:01:32.951
1833.4982973533456,2458833.4982973533,2019-12-15T23:57:32.891
1833.537185551636,2458833.5371855516,2019-12-16T00:53:32.832
1833.5760737471319,2458833.576073747,2019-12-16T01:49:32.772
1833.653850130674,2458833.6538501307,2019-12-16T03:41:32.651
1833.6927383187199,2458833.692738319,2019-12-16T04:37:32.591
1833.7316265049033,2458833.731626505,2019-12-16T05:33:32.530
1833.7719035519185,2458833.771903552,2019-12-16T06:31:32.467
1833.8094028693527,2458833.8094028695,2019-12-16T07:25:32.408
1833.84829104762,2458833.848291048,2019-12-16T08:21:32.347
1833.8885680871851,2458833.888568087,2019-12-16T09:19:32.283
1833.9274562612613,2458833.927456261,2019-12-16T10:15:32.221
1833.9677332957035,2458833.9677332956,2019-12-16T11:13:32.157
1834.0066214646572,2458834.0066214646,2019-12-16T12:09:32.095
1834.0455096312826,2458834.0455096313,2019-12-16T13:05:32.032
1834.0843977951142,2458834.084397795,2019-12-16T14:01:31.970
